ytid,caption
1Xtkou9dtyA,"The Alternative/Indie song features layered punchy kicks, energetic crash cymbals, groovy bass and synth key chords, followed by electric guitar licks. It sounds haunting and energetic, almost like a halloween themed song."
1YPYQP6yupA,"The low quality recording features a passionate male vocal singing over mellow piano chords, shimmering hi hats, snappy rimshots, punchy kick and soft bass. It sounds emotional, passionate and heartfelt."
1ZaxqZMs21M,"A male vocalist sings this spirited rock and rock song. The tempo is fast with bright drumming, intense electric guitar feedback, keyboard harmony and rhythmic acoustic guitar with vocal backup. The song is upbeat, spirited, enthusiastic, vibrant, vivacious, buoyant and youthful with a dance groove. The sound quality is inferior making it difficult to understand the lyrics or the finer elements of this Rock and Roll song."
1Ziku4FLka4,This is an educational kids song. There is a female vocalist singing playfully. The piano and the xylophone are playing a simple melody. The rhythm is a basic acoustic drum beat. The atmosphere is joyful. This piece can be used in the soundtrack of a kids TV show.
1_YHHL_t2GI,"The low quality recording features clapping and shoe tapping sounds over rock songs played on playback. The song consists of a passionate male vocal that sings over punchy kick and snare hits, shimmering hi hats, electric guitar melody and groovy bass guitar. The recording is in mono and a bit noisy, as it was probably recorded with a phone."
1bSP4wLfMpA,"A cello section is playing a short stroke melody with the bow while other strings, probably violins are playing a one note drone in a high key. Timpani hits and rolls are adding depth to the musical scenario. In the background you can hear sound effects opening up the soundscape for a deeper male voice screaming/crying along to a chainsaw sound. This song may be playing in a movie scene where someone is getting tortured."
1cqcTbDxsHM,"The low quality recording features a pulsating theremin synth lead and haunting synth lead playing in the background. It sounds low, analog, spooky and spacey, almost like outer space communication."
1cwGW0cBdRs,"The low quality recording features a cover of a rock song and it contains sad theremin lead melody played over playback instrumental that consists arpeggiated electric guitar melody and mellow rimshots in the right channel of the stereo image, smooth bass guitar that leans towards the left channel and shimmering cymbals. It sounds emotional, sad and passionate."
1dt9eL2rmSY,"The soundtrack features various aquatic animals like whales and dolphins making sounds. The keyboard plays synth tones with organ sounds with the grunting, squeaking and growling tones. The sound quality is average."
1gDNqOQFopY,This clip is of an amateur recording. It features a male voice. He starts off the song by singing a quacking melody followed by yodeling. There are no words in this song. This voice is accompanied by a piano playing chords. There are no other instruments in this song. This song has a comedic feel to it. This song can be played at a house party.
1h2sb2xeCt8,"The low quality recording features a ballad that consists of a soft female vocal singing over a mellow piano melody and shimmering bells at the end of the loop. The recording is noisy and it sounds passionate, emotional and mystical, almost like a lullaby."
1hABzqBHh7w,"A male vocalist sings this spirited song. The tempo is fast with trumpets, keyboard harmony, steady drumming and simple bass lines along with vocal backup. The song is happy, energetic, enthusiastic, popular, peppy, vivacious and celebratory. There are sounds in the background of people talking, hooting, cheering and scuttling and rustling. This is a popular Folk/Regional song."
1hWAOReJehw,This song contains an accordion playing a fast melody along with a female voice singing her own melody with a lot of vibrato and sliding down tones. A tabla is playing a rhythm. Everybody seems  to make their own thing. So this can be considered a complex composition. This song may be playing live with people listening and sitting on the floor.
1heMbyumHAo,This is a remix of an R&B soul piece. There is a male vocal singing in a laid-back manner joined by an auto-tuned male vocal. The keyboard provides the melody with a gentle bass guitar playing in the background. The rhythmic structure is composed of the acoustic drums and the percussion playing a medium tempo beat. The atmosphere of the piece is groovy and there is a feelgood aura to it. This piece could be used in the soundtrack of a sitcom.
1i1sbQOILb0,"The low quality recording features a live performance of traditional music and it consists of harmonizing female vocals singing over shimmering hi hats and tambourine hits, fat snare, boomy kick, groovy bass and short strings melody. The stereo image is unbalanced as the vocals are leaning towards the right channel of the stereo image. It sounds soulful and happy."
1j13NdQiw8c,"This music is instrumental. The tempo is fast with a lively keyboard harmony, steady drumming, groovy bass lines and harmonica melodic. The song is fresh, groovy, sunny, happy; vivacious and spirited. The song is a live performance outdoors as there are ambient nature sounds like the breeze,and sound of people talking."
1j3pXUr8R4M,This instrumental song features a harp melody being played. There are no other instruments in this song. There are no voices in this song.. The mood of this song is dreamy. This song can be played in a dream sequence in an animated film.
1j4rFfU5XKQ,This song contains several drum hits and percussive instruments playing a fast paced rhythm that motivates dancing along. An e-bass is bringing the low end supporting the drums. Cuatro guitars are strumming chords as a rhythmic addition. Trumpets are playing a loud and catchy melody. Some of the musical elements are slightly panned to the left and right side of the speakers. This song may be playing at a cheerful event.
1jATjKL2vAE,"This music is instrumental. The tempo is fast with a rhythmic guitar lead. There is minimal instrumentation and the music is an upbeat, energetic and catchy riff."
1jptuEjuTig,"The low quality recording features a live performance that consists of reverberant wooden percussion over an electro song, followed by crowd talking and public announcement vocals in the background. The song consists of groovy bass, haunting synth lead, soft ""4 on the floor"" kick pattern and shimmering shakers. It sounds like it was recorded somewhere outdoors, judging by the public announcement vocal and crowd noises."
1kYDbl5Y9Sg,This is the live performance of a Paraguayan folk music piece. There is no singer. There is a Paraguayan harp playing a vibrant yet melancholic tune. The atmosphere is heart-touching. This piece could be used in the soundtrack of a drama movie during a scene of serenity or mourning.
1l7BjFDQLUM,This is a jingle piece. There is no singer in this piece. There is an organ and a keyboard playing the main melody while bells and other percussive elements provide the rhythmic background. The atmosphere is cheerful. This piece could be used as an advertisement jingle. It could also be used at a festive event setting such as Christmas or Thanksgiving.
1lgqqW5TsJk,"This song contains digital drums with a deep low kick sound, a sharp hi hat and a loud bellsound with its own rhythm. A synthesizer is playing a lead sound in the mid range before jumping up an octave after a male scratched vocal sample is being played. This song may be playing in a club."
1ls3ectO1F4,This song contains acoustic drums with reverb and a bassline playing to the kick. Someone is playing a slow evolving melody on a distorted e-guitar. In the background you can hear voices. This song may be playing live at a concert.
1mB_cboJR8s,This meditation music features a male voice in a low tone chanting words in a melodic tone. There are no other instruments in this song. The mood of this song is relaxing. This song can be played in a meditation center.
1nUqhH8bAPk,"A country-song with guitar, acoustic drums and a almost walking bassline is playing along with a high pitched baby voice singing along to some sound effects/noise samples of some ribbon. This recording is in very poor quality. This song may be playing as a joke to pull off on someone."
1o7iTDLNTFk,This clip features a guitar chord being strummed in the beginning. This is followed by a male voice narrating a song. There are no other instruments in this song. There is no vocal melody in this clip.
1pR0SgbqP3M,"A male vocalist sings this lively pop. The tempo is fast and peppy with animated trumpets, groovy saxophone, slick drumming, funky bass line, keyboard harmony, synthesiser arrangements and electronic sounds. The song is upbeat, energetic, enthusiastic, youthful, vibrant, effervescent; passionate and electrifying. This song is Synth Pop."
1rhsnmWLeGw,"A female vocalist sings this pleasant melody. The tempo is slow with a melodic piano accompaniment. There is minimal instrumentation with emphasis on vocals. The song is soft, mellow, soothing, calming, mellifluous, pleasant, and dreamy. This song is a love song, children’s song or a lullaby."
1tNkAc29aPE,"This song is an instrumental. The tempo is medium with an upbeat electric guitar harmony. The music is minimal with no other instrument as accompaniment. It is Loud, sharp, intense, youthful and rhythmic. The vibrations of the music can be heard even after it stops playing. This music is Soft Rock."
1tz4xNRRR4M,"This lullaby features a fruity male vocal talking over a haunting bell melody. At the end of the loop, there is a sustained string swell. It sounds creepy, haunting, mystical and like a theme song for a movie."
1uHF1-8TcEk,The clip features a choir singing a hymnal type of song. This was recorded live. There's a piano accompanying the choir. They are humming in a gentle and angelic way.
1xhwyUVSRQk,"A female singer sings this cool pop melody with backup singers in vocal harmony. The song is medium tempo with a groovy bass line, steady drumming rhythm, and keyboard accompaniment . The song is exciting and youthful. The audio quality with a lot of ambient crowd noises."
1y1lEOGBcWM,"The low quality recording features a suspenseful piano melody played over mellow synth pad chords. It sounds intense, mystical, but also passionate, as something you would hear in movies."
1yWGmdevTuM,This tribal music is played on a didgeridoo. It is played by vibrating the lips over the instrument using breathing techniques. The song has a continuous droning sound and inter spread with low pitch bass sounds. There are no voices in this song. This audio can be used in a movie where the protagonist is trapped in a forest.
1ypKEH2kd7g,"The song is an instrumental jazz tune. The tempo is medium with steady drumming with drum brushes and other percussive hits, piano accompaniment, guitar accompaniment, groovy bass line and a muted trumpet playing a cool solo. The song is a jazz improvisation of a romantic melody."
2-K-7T8ZIWA,"This music is an instrumental of the Christmas Carol “You Better Watch Out’. The tempo is medium with the lead harmony on the theremin and piano accompaniment. The music is haunting, ethereal, lilting, mesmerising and captivating. This music is a Theremin Instrument."
20QZS9L5WeA,"The low quality recording features a mellow arpeggiated piano melody playing in the background, while the breathy flute melody is playing over it. It sounds passionate, emotional and soulful."
20Vh6z6Ie0E,"The recording features a live performance of a pop song that consists of passionate female vocal singing over groovy piano melody, sustained strings melody, smooth bass, widely spread shimmering shaker, snaps and snappy rimshots. It sounds euphoric, as it brings a Christmassy vibe, and is also happy and nostalgic."
21MgIcLN8Ow,The low quality recording features a didgeridoo melody being played. The recording is noisy and in mono.
23xC7lTBikU,This is the live recording of a didgeridoo concert. The didgeridoo is being played at a wide variety of frequency ranges. There is a raw feel to this piece. The sound has tribal characteristics. The sounds from this recording could be sampled for use in beat-making.
244y56-vLWE,"A male singer sings this exciting Latin dance melody. The tempo is medium fast with a saxophone solo, percussive bass line, guitar accompaniment, latin percussion, steady drumming rhythm,  and cymbal crashes. The song is exciting with the crowds going crazy. The audio quality is poor."
24cmo2fEQo8,"The low quality recording features an echoing tom, snappy rimshots and echoing, repetitive arpeggiated harp melody playing, after which there is a punchy kick hit. It sounds groovy."
25RWrqQol7Y,These are various sound effects compiled into a track. There is an electronic music/dubstep influence on the sounds. A strong bass synth can be heard playing. The sounds of glass shattering and ice breaking were used to create a dramatic effect. The atmosphere of the track is aggressive. This track could be used as an opening theme to a gaming/sports/gym Youtube channel. Samples of this track could also be used in the sound effects of an action movie or a video game. It could also fit well in an advertisement targeted at a male audience.
26HLgXWF-Co,This audio contains someone playing a classical melody on an acoustic guitar using fingerstyle. This audio is full of reverb. This song may be playing at a talent show.
26IOFykrJrc,This is a jazz music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an epic atmosphere. It would fit perfectly in a movie/TV show setting as a soundtrack opening.
26jTWRMRoxY,"The song is an instrumental with separate audio tracks. The tempos are medium with female vocals, backup  singers, groovy drum rhythms, keyboard harmony, guitar accompaniment and various percussive hits. The song is energetic and exciting. The song is an ad jingle for a software product. The audio quality is poor with hissing tones."
28pkN4m1x6I,This is an electro swing/funk music piece. It is an instrumental piece. There is a brass section making up the most of the melody with the saxophone as the lead. The bass line is being played by the tuba. There is also a piano adding texture to the melody. The rhythmic background is provided by an electronic drum beat. The atmosphere is upbeat and eccentric. This piece could be playing at a nightclub or a dance club. It could also work well in the soundtrack of a comedy animation movie.
28wBrNjHXOM,This is a meditation music piece. There is a didgeridoo playing a vague melody at the forefront while repetitive shamanic drum hits can be heard in the background. The atmosphere is profound and calming. This piece can be used in the background of meditation videos. It can be used during sessions at yoga centers.
298Q_pSLflU,This song contains a lot of different synthesizer sounds. One is playing a lead melody in a higher register while two others are playing a rhythmic repeating melody in the mid and low register. This song may be playing in a club.
2ATMQxWVpXk,"A male singer screams and laughs loudly. The song is medium tempo with steady rock drumming, groovy bass line and electric guitar rhythm. The song is energetic and haunting. The song is a modern punk rock song."
2BBAUwC1BI4,"The low quality recording features an arpeggiated electric guitar melody performance. The recording is noisy and in mono, as it was probably recorded with a phone. It sounds mystical and intense."
2BGzxAuetOA,"A male vocalist sings this song. The tempo is slow, with intense drumming; keyboard harmony, groovy bass lines and electric guitar harmony in the background. The vocalist is singing a dissonant tune along with syncopated music over the melodious and rhythmic background. This is probably karaoke."
2CzfBZ1mYBs,This song is full of rhythmic elements and an e-bass that supports the mood for dancing. A rhodes/organ is playing a simple melody along with a trumped playing its own melody. The recording is full of synth pad sound and crash hits. This song may be playing on a portable speaker while riding a bike with friends during summer.
2FQKfGCwjSE,"The song has different music tracks played in succession. The song has guitar accompaniment and a groovy bass followed by female singer singing vocal chants with male backup singer in vocal harmony, on a groovy drum rhythm and keyboard harmony with white noise added. The song is probably an ad jingle."
2G5bSYHcJSM,"The low quality recording features a weird repetitive, funny male vocal singing over a weird instrumental that consists of punchy kick and rimshots, tinny percussion, some synth lead melody and filter modulated bass. It sounds funny and it is in mono - almost like a prank song."
2GWkKVHxGRM,"This music is a live instrumental.The music is medium tempo with a dominant piano accompaniment, keyboard harmony, bright drumming, funky bass line, congas rhythm and tambourine beats. The music is a live performance as there are ambient background sounds of people talking and laughing."
2Gja9wBkz6U,"The low quality recording features a theremin solo melody. It sounds spacey and weird, as the recording is noisy."
2I6pPRWKsCQ,"The low quality recording features a live performance of a R&B song that consists of muffled male vocal singing over groovy bass guitar, mellow synth keys melody and energetic drums. There are some crowd noises in the background. The recording is noisy, as it was probably recorded with a phone, but it sounds energetic, passionate and emotional."
2Ic1zm9mBjk,"The song is an instrumental. The song is medium tempo with a sitar playing solo, tabla playing percussively and other Indian percussion instruments. The song is emotional and poignant. The audio quality is very ordinary."
2IpapScfsT4,This instrumental song features a run played on a piano followed by an ascending progression on the French horn. The horn plays descending notes and the piano repeats the same melody using arpeggiated chords. This is followed by two ascending notes on the horn. There are no other instruments in this song. This song has a relaxing feel. This song can be played in a bar.
2JNY2SaMk7s,"This reggae song features a male voice making an announcement in the beginning. A female voice sings a one-line melody. This is accompanied by the main male voice singing vocables in the background. Until this part, only a keyboard and guitar are playing a reggae rhythm. This is followed by the main male voice singing the main melody in a reggae style. This is accompanied by a kick driven percussion playing a simple beat. There are voices singing vocables in the background. The mood of this song is happy. This song can be played in a movie with a holiday theme."
2JnlmS1zzls,"A male chorus sings this passionate song in a foreign language which sounds like Greek. The song is medium tempo with hand percussion like drums, small hand drum, tambourine and a beat with sticks. The vocals are emphatic and sung in lively parts. The song is passionate, emotional, sentimental, and sounds like an anthem or a love song for the Country or a Leader."
2JuMYUPMGGM,"This is an electronic piece played in an instructive video. A sine wave synth sound is used both in the chords and the lead section. It is in medium-to-high range. There is a bizarre feeling in this piece. Although the piece is interrupted in the original, parts of it can be lifted to be used as samples in the soundtrack of an outer space sci-fi movie/video game."
2KkNk9Ao7G4,"The low quality recording features a punchy kick and snare hits, followed by shimmering hi hats, buzzy synth bass and 8 bit synth lead melody. It sounds groovy, weird and like something you would hear as background music in games."
2KwSyaLT_mw,Someone is playing a clean e-guitar with a chorus and tremolo effect. This is an amateur recording.
2M-CFCo-rkY,"This is an emotional Japanese pop ballad. The singer has a light, airy and gentle voice that she uses to sing over the deep and full piano arpeggios. The song has a calming and emotional effect."
2MZUbxulAI4,This is the behind-the-scenes video of a movie soundtrack. There are male voices talking to each other and singing under footage. There is a faint backing track in the video. A bansuri flute is playing a melody while the tabla percussion is playing the rhythm.
2MpzHv5KNZU,This is an instrumental classical music performance. There is a gentle tune being played with the piano sound. Ambient sounds such as birds singing can be heard in the recording. The atmosphere is soothing and relaxing. This is a perfect piece for a sleep music playlist. It could also work well as an advertisement jingle. It could be playing in the background at a nursery.
2RMOegT2Jn8,"hip hop music featuring a young male rapper over a minimalist beat with only percussion such as cowbell, kick drum, shaker, and triangle."
2RU4CSDzS-g,"This slow pop song features a male voice singing the main melody. This is accompanied by an acoustic guitar plucking chords. Another acoustic guitar plays in harmony with the first guitar. The mood of this song is romantic. The voice is calming and the song is relaxing. The bass notes are accented and toward the end, the bass notes slide to the next note. This song can be played in a romantic movie."
2SI_uNBcSyw,This is the nightcore version of a rock music piece. There is a distorted electric guitar sound playing the main melody and a bass guitar in the background. The rhythm consists of a slightly fast-paced and hard-hitting rock acoustic drum beat. The atmosphere is rebellious. This piece could be used in the soundtrack of an anime.
2SQxfaWAJJg,This audio contains fast paced digital drums changing the beat from halftime into a four on the floor with a kick on every beat along with a synth bassline. Other synth sounds are playing a lead sound and an arpeggiolike melody along with a distorted e-guitar. A female voice is singing in a high pitch accompanied by another female backing voice creating a harmony. This song may be playing as an entry for a fast paced action series.
2SenLjPbGzU,"The low quality recording features a pop song that consists of a passionate male vocal, alongside background male vocals, singing over punchy 808 bass, claps, shimmering hi hats, wide tinny percussion, repetitive synth lead melody and groovy synth keys melody. It sounds groovy, addictive and exciting - like something you would hear in a club."
2ShO1jZYZeA,"This techno song features programmed percussion playing at a fast tempo. After two bars, the percussion plays a crash cymbal and pauses. There are layers of synth sounds. One layer is playing a high pitched repetitive melody. Another layer is playing the lower octaves of the same melody but the sound is different. Another synth is playing the bass parts using the same melody. This is an instrumental song with a techno feel. This song can be used in an advertisement for a luxury item."
2T1P9ovsl4A,"The low quality recording features an emotional electric guitar melody, shimmering hi hats, soft kick hits and punchy snare in the left channel and arpeggiated electric guitar melody and simple bass guitar in the right channel of the stereo image. Due to this unconventional panning, the stereo image sounds a bit unbalanced. It is still emotional and passionate."
2U8Dvh7nwFI,This is a pop music piece. The words are being sung by two vocals: one male and one female which lead to a duet for the chorus. There is a banjo and an electric guitar playing the melody while a simple electronic drum beat provides the rhythmic background for the song. It is a slightly melodic and emotional song. This piece could be used in the soundtrack of a romantic drama during a flashback scene.
2Ui85-AOLyo,This is a live recording of a DJ doing deck scratching on a hip hop song.
2UnlMwW8nyI,This children's song features an accordion playing chords. This is accompanied by percussion playing a simple beat. The bass plays the root notes of the chords. An instrument like the xylophone plays the main melody on the low frequencies. There are no voices in this song. This song is an instrumental. The mood of this song is happy. This song can be played in a children's animation series.
2VFVe0RCn7g,Someone is playing a distorted e-guitar. Finger-tapping a classical music piece. This is an amateur recording and not of the best sound-quality. This song may be playing at home showing off your skills to a friend.
2WxUIkF2zEw,In the forefront you can hear water running while a jazz piece is playing in the background. This is an amateur recording.
2YAyM0aHFRU,"This song has a traditional African Arabic feel to it. There is an accordion, an upbeat vibe, and an ethnic vocal performance by the male vocalist. It is a live recording and the audio quality is not professional."
2YQPwRLB1s0,"The low quality recording features a jungle track that consists of bouncy snare, soft kick, shimmering shakers, energetic ride cymbal, claps and groovy bass. There are some zipping sound effects, alongside energetic female vocal phrases. It sounds energetic, but yet smooth. Sounds like a soundtrack for a commercial."
2ZB7DUGOdZw,The song is an instrumental. The song is fast tempo with distorted guitars playing in rhythm. The song is energetic and an amateurish performance. The song is of very poor quality with audio noise and hissing sound.
2ZYzviKuq9w,"This is a hip-hop music piece. There is a female vocalist singing in a rap-like manner. There is a strong bass in the background. For the rhythm, there is a simple electronic drum beat with heavy use of claps. The keyboard is playing occasional tunes. The atmosphere is groovy. This piece could be playing in the background at a nightclub or at a dance club."
2ZgEbNi--8Q,"A male singer sings this aggressive vocal. The song is medium tempo with a slick drumming rhythm, groovy bass line, sonic tones, keyboard harmony and various percussive hits. The song is a modern electronic dance music with trance influences. The song has bad quality audio issues."
2ZogsGp-T4o,"This song is a mandolin instrumental. The tempo is medium with a lively melody on the mandolin. The music is minimalist without  any other instruments. The music is high pitched, melodious and charming. This audio ends abruptly indicating that this could be a mandolin tutorial."
2ZrqWkdwVzo,The low quality recording features a harpsichord melody being played. The recording is extremely noisy and it sounds passionate and emotional.
2_Vk3tmqz-0,The clip sounds like a live performance of Hawaiian Luau music. The song has a generally positive and uplifting effect - it can put you into a good mood. There are several layers of guitars. There's also a main string instrument that plays arpeggiated notes.
2_kLD3IbF2c,"This song contains background noises such as a goat sound, wind blowing and very low horns blowing one note. Then the music comes in with a string section playing a short stroke melody. This song may be playing in a war/adventure video-game."
2_mFg42LlUI,"The low quality recording features a huge church organ chord progression, followed by shimmering cymbals, played in a huge reverberant space - most likely a church. It sounds epic and powerful."
2aPVOidHLXI,"The low quality recording features a wide, soft whispering male vocals singing over a wide electric guitar melody, shimmering cymbals and drum roll. In the second part of the loop there is an energetic male vocal singing over more energetic electric guitar chords, distorted bass, punchy kick and snare hits and shimmering cymbals. It sounds energetic, aggressive, but also messy and kind of chaotic, since the mix is dirty."
2bCuw7U_Rac,This low quality recording features a male voice singing the main melody in a foreign language. This is accompanied by percussion playing a simple beat with a Latin feel. The bass is played on a double bass. The double bass plays a groovy bassline. Flute fills are played in the background. An accordion plays melodies in harmony with the voice. This song has romantic overtones. This song can be played at the end credits of a mafia romance movie.
2bcnAoZbptI,"This is a live performance of a pop music piece. There is a male vocalist singing melodically in the lead. There is a catchy tune that is being performed on a keyboard with a piano sound.The atmosphere is sentimental. This piece could be used in the soundtrack of a romantic comedy movie, especially during the scenes where the characters are starting to fall in love with each other."
2ctgUIqyaBk,This pop song features a male voice singing the main melody in a foreign language. The melody is repetitive. This is accompanied by percussion playing a simple beat. The bass plays the root notes of the chords. A guitar plays arpeggiated chords using a chorus effect. The mood of this song is romantic. This song can be played in a romantic movie.
2cxs73i3l1M,"The low quality recording features a passionate female vocal, alongside harmonizing background vocals, singing over wide wooden percussion, groovy bass and shimmering shakers. It sounds joyful, emotional and passionate. The recording is noisy."
2cxvYC9QZac,"A male singer sings this passionate melody. The song is medium tempo with Latin percussion, guiro percussions, guitar rhythm, piano accompaniment and guitar rhythm. The song is romantic and spirited. The song is a Latin dance song with poor audio quality."
2dyEnOo3yJ8,"The low quality recording features a traditional song that consists of passionate female vocal singing over wooden percussive elements, strings and flute melody. It sounds passionate, emotional and soulful and the recording is noisy and in mono."
2f1UXGix_Cw,"The low quality recording features a techno song that consists of a compilation of sounds. The first version is thin and crushed, as it was played on a speaker and recorded with a poor microphone. The second version is the actual song being played, which consists of a ""4 on the floor"" kick patter, wide percussive elements and shimmering open hats. The final, third version is crushed, distorted and heavy as it consists of very loud kick punches."
2gc1L3g1itU,"This audio contains someone playing blues on an e-piano. This audio is in poor audio quality, you can hear white noise from the recording. This song may be playing piano at home."
2gvyOxKuQPY,"The song is an instrumental. The tempo is medium, featuring a drum solo with no other instrumentation, featuring a lot of stops, cymbals crashes and drum rolls. The song serves as a dance track for a group of dancers. The audio quality is deteriorated and generally poor."
2hgvuYGc95o,The low quality recording features a beatboxing over harmonica solo melody. It sounds groovy and the recording is groovy and in mono.
2i4UNf8tjvU,This folk song features a male voice singing the main melody in a southern accent. The voice falls in the bass category. This is accompanied by an acoustic guitar strumming chords. The recording is of low quality and there is a lot of white noise drowning the other sounds. A basic percussion instrument is played. The voice is emotional. This song can be played in a retro style movie where a family goes to meet their grandparents out in the countryside.
2juYRZnhF3g,Two voices can be heard singing a Christmas song accompanied by a piano or guitar playing along chords. The sounds seem to come out of a box rather than being sung live. The recording is of very poor audio quality. This song may be playing at Christmas time.
2kORDnISun4,A choral harmony consisting of four parts sings this ethereal harmony. The song is medium tempo with a church organ and orchestra accompaniment. The song is heavenly and innocent. The audio quality is poor.
2kY_ZG78V-g,"This is low quality audio and all instruments are not heard clearly. The main melody is played on a marimba. This is accompanied by a timpani. Another drum set is used to play percussion with the focus on the snare and hi-hat. After the marimbas pause, one marimba plays a soft melody. This song does not feature any vocals. This song can be played in a fantasy sequence in a movie."
2kcSUBkFbaQ,"The Low Quality Hip Hop song features a dry, flat male vocal rapping over punchy kick layered with shimmering open hats, punchy kick, simple hi hats, claps, syncopated snare hits, wide arpeggiated synth melody and stuttering synth chords. It sounds energetic and kind of unnatural, since the vocal is so detached from the instrumental due to the bad mixing of the song."
2lBZ6yPW9WU,"The low quality, noisy recording features a wooden rubbing sound effect, followed by a short exhale blow. The recording has wide natural sounds, including birds chirping, as it was recorded outdoors."
2nsZhXxes68,"An acoustic drum is playing a groove with crash hits and a double-bass drum along with the e-bass and an e-guitar playing bass notes along with the complex kickdrum. A oriental sounding string and brass-section is playing a melody. The male voice sounds very aggressive, screaming with full force. This song may be playing at a live concert."
2o1p83UjJFA,"This is the live performance of an orchestral rock piece. There is a male vocalist singing melodically in the lead. The piano is gently playing the main tune of the song. The tempo of the piece is slow. There is a profound, melancholic atmosphere. This piece could be used in the soundtrack of a drama movie/TV series. It could also be playing in the background at a rock/metal bar."
2pTnwe3DzCs,This is the recording of a keyboard lesson. There is a male instructor that plays the notes on the keyboard first and then describes the placement of the fingers and the notes that are being played. The audio quality of the lesson is not that great.
2qO-OQtOBK0,This is a percussion music piece. There is a medium pitched conga sound providing the rhythm. Clicking sounds related to a video game can be heard. Parts of this piece are suitable for a video game.soundtrack.
2sIfE3KOi5s,"This music is instrumental. The tempo is fast with trumpet harmony, keyboard accompaniment, infectious drumming, syncopated, funky bass lines, lively piano and electric and acoustic guitar riffs. The music is upbeat, groovy, complex harmony, ambient, soulful and funky. This song is Funk Soul;"
2uagA3ujRtM,This clip features purring sounds as the main sound. This is accompanied by violins playing a lullaby melody in the background. The sounds of crickets chirping are also played in the background. This clip does not contain any voices or any other musical instruments.
2umjh27MkjU,This song features a male voice singing the main melody. This is accompanied by other male voices singing backing vocals in harmony. The bass plays the root notes of the chords. A synth plays a melody similar to the backing voices and continues to play even when the main voice sings. The synth has an accordion voice. This is accompanied by programmed percussion playing a Latin dance beat. The mood of this song is romantic. This song can be played in a dance party.
2unse6chkMU,"This is a piece that would be suitable as calming study music or music for sleeping. It features a relaxing and soothing motif on the piano, being backed by a distant, high pitched and sustained violin."
2vQTq4QLP8U,This is a eurodance/latin dance music piece. The words are sung in the Spanish language by a female vocalist in a seductive manner. The main theme is played by the accordion while elements such as the keyboard and the bass guitar make up the melodic background. The rhythmic background consists of a basic 4/4 electronic drum beat and latin percussive elements. There is a sensual and erotic feel to this piece. It could be playing at latin dance nights at dance clubs. It could also work well as an accompaniment piece at a latin dance course.
2wZCoeq9Ppc,"The low quality recording features a harmonizing woodwinds melody playing. The recording is noisy, in mono and it sounds happy and fun."
2x4694ExyCU,"The low quality recording features an electro song that consists of a widely spread stuttering synth melody, buzzy synth bass and distorted electric guitar melody. It sounds distorted, loud, suspenseful and energetic."
2x9735gU01s,"The low quality recording features an arpeggiated acoustic guitar. It sounds mellow, soft, emotional and sad."
2xATintzaj4,The song is an instrumental. The song is medium tempo with an electric guitar playing chords and strumming rhythm with no other instrumentation. The song is emotional and interesting. The song is probably a demo of a guitar or guitar amplifier. The audio is average quality.
2xGRCsW6-Bk,"The low quality recording features a Champeta song that consists of wooden percussive elements, electric guitar solo melody, funky electric rhythm guitar chords, shimmering shakers and hi hats and smooth bass guitar. It sounds funky and like something you would dance to in a bar."
2y1QnNBaxAU,"This is an emotional, melodic piano piece. It brings about sombre and reflective feelings. It has a slow tempo, and it is not intricate but it is captivating. The empty spaces between the motifs allows for thoughts to flow."
2z1elo4ucis,This is an amateur recording of a latin dance music piece. The audio quality is not that great. There is a male vocalist singing loudly. A bass guitar is playing a groovy bass line while an electric guitar is strumming chords in a syncopated manner. The rhythmic background is provided by a barely heard latin acoustic drum beat. The atmosphere is cheerful. This piece could be sampled for use in the making of a latin influenced hip-hop beat.
2zjtZYqg3Ow,"The Drum & Bass song features wide piano chords layered with wide synth pad chords, followed by echoing vocal melody at the beginning, double pedal kick, punchy snare and manically played hi hats. Right before the beat drops, there is a wide reverberant riser that lifts the energy of the track, preparing the listener for it. It sounds energetic, uptempo and manic - like something you would hear on commercials."
2zo5z1I0CeM,This pop song is sung by a female children's choir. The voices are soprano and alto. The soprano voice sings high pitch notes in vocals. The alto voices sing the words in parts. This is accompanied by the bass playing the root notes of the chords. A piano plays arpeggiated chords. The mood of this song is sad. This song can be played in a movie scene about reminiscing the past.
2zpITTJiw7Q,This low quality audio features a melody played on the piano. This is followed by a melody on two different synth voices. This is accompanied by percussion playing a simple melody. The bass plays the root notes of the chords. The other instruments are not clearly heard because of the low quality of audio. There are no voices in this song. This song can be played in an anime video.
2zrPFxxT1VM,This song starts with a male narrator speaking a line. This is followed by a female voice singing the  main melody and each line is repeated by male and female voices. This song has a repetitive melody. This song has a call and response pattern. This is accompanied by an acoustic guitar playing chords and riffs at the end of lines. The percussion is played on a tabla. This song has a religious chant feel. This song can be played in a religious gathering.
3-_QS346VWo,This is a new-age music piece. There is no singer in this piece. The acoustic guitar is playing the main melody. The piano is playing the chords of the piece while in the background a faint synth string sound can be heard. The atmosphere is relaxing and soothing. This piece would make the perfect background music for a meditation video. It could also be playing in the background at a spa or a wellness center.
30tNWUyJCog,This reggae song features a male voice singing the main melody. The vocal melody is repetitive. This is accompanied by programmed percussion playing a reggae beat. Hand claps are played at regular intervals. The bass plays a groovy bassline. A saxophone plays fills in between lines. This song has a reggae feel. This song can be played in a Caribbean style party.
